"","Method","id","ace_a","ace_c","ace_e","n","NGroups","NDependentVars","NIndependentVars","NContinuousLatentVars","Parameters","TrueModel","aBIC_ae_0.01","aBIC_ae_0.025","aBIC_ae_0.05","aBIC_ae_0.1","aBIC_ae_0.5","aBIC_ae_0.9","aBIC_ae_0.95","aBIC_ae_0.975","aBIC_ae_0.99","aBIC_ae_NA","AIC_ae_0.01","AIC_ae_0.025","AIC_ae_0.05","AIC_ae_0.1","AIC_ae_0.5","AIC_ae_0.9","AIC_ae_0.95","AIC_ae_0.975","AIC_ae_0.99","AIC_ae_NA","BIC_ae_0.01","BIC_ae_0.025","BIC_ae_0.05","BIC_ae_0.1","BIC_ae_0.5","BIC_ae_0.9","BIC_ae_0.95","BIC_ae_0.975","BIC_ae_0.99","BIC_ae_NA","CFI_ae_0.01","CFI_ae_0.025","CFI_ae_0.05","CFI_ae_0.1","CFI_ae_0.5","CFI_ae_0.9","CFI_ae_0.95","CFI_ae_0.975","CFI_ae_0.99","CFI_ae_NA","ChiSqBaseline_DF_ae_0.01","ChiSqBaseline_DF_ae_0.025","ChiSqBaseline_DF_ae_0.05","ChiSqBaseline_DF_ae_0.1","ChiSqBaseline_DF_ae_0.5","ChiSqBaseline_DF_ae_0.9","ChiSqBaseline_DF_ae_0.95","ChiSqBaseline_DF_ae_0.975","ChiSqBaseline_DF_ae_0.99","ChiSqBaseline_DF_ae_NA","ChiSqBaseline_PValue_ae_0.01","ChiSqBaseline_PValue_ae_0.025","ChiSqBaseline_PValue_ae_0.05","ChiSqBaseline_PValue_ae_0.1","ChiSqBaseline_PValue_ae_0.5","ChiSqBaseline_PValue_ae_0.9","ChiSqBaseline_PValue_ae_0.95","ChiSqBaseline_PValue_ae_0.975","ChiSqBaseline_PValue_ae_0.99","ChiSqBaseline_PValue_ae_NA","ChiSqBaseline_Value_ae_0.01","ChiSqBaseline_Value_ae_0.025","ChiSqBaseline_Value_ae_0.05","ChiSqBaseline_Value_ae_0.1","ChiSqBaseline_Value_ae_0.5","ChiSqBaseline_Value_ae_0.9","ChiSqBaseline_Value_ae_0.95","ChiSqBaseline_Value_ae_0.975","ChiSqBaseline_Value_ae_0.99","ChiSqBaseline_Value_ae_NA","ChiSqM_DF_ae_0.01","ChiSqM_DF_ae_0.025","ChiSqM_DF_ae_0.05","ChiSqM_DF_ae_0.1","ChiSqM_DF_ae_0.5","ChiSqM_DF_ae_0.9","ChiSqM_DF_ae_0.95","ChiSqM_DF_ae_0.975","ChiSqM_DF_ae_0.99","ChiSqM_DF_ae_NA","ChiSqM_PValue_ae_0.01","ChiSqM_PValue_ae_0.025","ChiSqM_PValue_ae_0.05","ChiSqM_PValue_ae_0.1","ChiSqM_PValue_ae_0.5","ChiSqM_PValue_ae_0.9","ChiSqM_PValue_ae_0.95","ChiSqM_PValue_ae_0.975","ChiSqM_PValue_ae_0.99","ChiSqM_PValue_ae_NA","ChiSqM_Value_ae_0.01","ChiSqM_Value_ae_0.025","ChiSqM_Value_ae_0.05","ChiSqM_Value_ae_0.1","ChiSqM_Value_ae_0.5","ChiSqM_Value_ae_0.9","ChiSqM_Value_ae_0.95","ChiSqM_Value_ae_0.975","ChiSqM_Value_ae_0.99","ChiSqM_Value_ae_NA","LL_ae_0.01","LL_ae_0.025","LL_ae_0.05","LL_ae_0.1","LL_ae_0.5","LL_ae_0.9","LL_ae_0.95","LL_ae_0.975","LL_ae_0.99","LL_ae_NA","RMSEA_90CI_LB_ae_0.01","RMSEA_90CI_LB_ae_0.025","RMSEA_90CI_LB_ae_0.05","RMSEA_90CI_LB_ae_0.1","RMSEA_90CI_LB_ae_0.5","RMSEA_90CI_LB_ae_0.9","RMSEA_90CI_LB_ae_0.95","RMSEA_90CI_LB_ae_0.975","RMSEA_90CI_LB_ae_0.99","RMSEA_90CI_LB_ae_NA","RMSEA_90CI_UB_ae_0.01","RMSEA_90CI_UB_ae_0.025","RMSEA_90CI_UB_ae_0.05","RMSEA_90CI_UB_ae_0.1","RMSEA_90CI_UB_ae_0.5","RMSEA_90CI_UB_ae_0.9","RMSEA_90CI_UB_ae_0.95","RMSEA_90CI_UB_ae_0.975","RMSEA_90CI_UB_ae_0.99","RMSEA_90CI_UB_ae_NA","RMSEA_Estimate_ae_0.01","RMSEA_Estimate_ae_0.025","RMSEA_Estimate_ae_0.05","RMSEA_Estimate_ae_0.1","RMSEA_Estimate_ae_0.5","RMSEA_Estimate_ae_0.9","RMSEA_Estimate_ae_0.95","RMSEA_Estimate_ae_0.975","RMSEA_Estimate_ae_0.99","RMSEA_Estimate_ae_NA","RMSEA_pLT05_ae_0.01","RMSEA_pLT05_ae_0.025","RMSEA_pLT05_ae_0.05","RMSEA_pLT05_ae_0.1","RMSEA_pLT05_ae_0.5","RMSEA_pLT05_ae_0.9","RMSEA_pLT05_ae_0.95","RMSEA_pLT05_ae_0.975","RMSEA_pLT05_ae_0.99","RMSEA_pLT05_ae_NA","SRMR_ae_0.01","SRMR_ae_0.025","SRMR_ae_0.05","SRMR_ae_0.1","SRMR_ae_0.5","SRMR_ae_0.9","SRMR_ae_0.95","SRMR_ae_0.975","SRMR_ae_0.99","SRMR_ae_NA","TLI_ae_0.01","TLI_ae_0.025","TLI_ae_0.05","TLI_ae_0.1","TLI_ae_0.5","TLI_ae_0.9","TLI_ae_0.95","TLI_ae_0.975","TLI_ae_0.99","TLI_ae_NA","UnrestrictedLL_ae_0.01","UnrestrictedLL_ae_0.025","UnrestrictedLL_ae_0.05","UnrestrictedLL_ae_0.1","UnrestrictedLL_ae_0.5","UnrestrictedLL_ae_0.9","UnrestrictedLL_ae_0.95","UnrestrictedLL_ae_0.975","UnrestrictedLL_ae_0.99","UnrestrictedLL_ae_NA"
"1","cor",2,1,0,1,100,2,2,0,6,4,"AE",1070.882,1076.5,1081.178,1085.905,1102.067,1115.528,1118.752,1121.632,1124.544,0,1070.491,1076.109,1080.787,1085.515,1101.677,1115.137,1118.361,1121.242,1124.153,0,1080.386,1086.004,1090.682,1095.41,1111.572,1125.032,1128.256,1131.137,1134.048,0,0.991,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2e-04,0.001,0,13.767,16.716,19.87,23.104,36.62,52.948,57.942,62.695,68.432,0,7,7,7,7,7,7,7,7,7,0,0.3923,0.5861,0.7414,0.8746,0.9993,1,1,1,1,0,0,0.002,0.006,0.021,0.535,3.109,4.317,5.591,7.272,0,-532.246,-535.055,-537.394,-539.757,-547.838,-554.569,-556.181,-557.621,-559.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0.088,0.107,0.126,0,0,0,0,0,0,0,0,0,0.02,0,0.558,0.728,0.844,0.931,1,1,1,1,1,0,0.001,0.001,0.002,0.004,0.021,0.05,0.059,0.067,0.078,0,0.997,1.009,1.019,1.027,1.05,1.086,1.103,1.123,1.159,0,-531.302,-534.192,-536.578,-539.089,-547.252,-554.013,-555.627,-557.195,-558.652,0
"2","cor",3,2,0,1,100,2,2,0,6,4,"AE",1029.88,1035.525,1040.759,1046.825,1066.952,1085.324,1089.65,1093.85,1097.376,0,1029.49,1035.135,1040.368,1046.435,1066.562,1084.934,1089.259,1093.459,1096.986,0,1039.385,1045.03,1050.263,1056.33,1076.457,1094.829,1099.154,1103.354,1106.881,0,0.988,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,41.148,44.75,48.754,53.27,71.86,91.956,98.054,103.342,110.037,0,7,7,7,7,7,7,7,7,7,0,0.3375,0.5524,0.7283,0.8774,0.9994,1,1,1,1,0,0,0.001,0.004,0.016,0.524,3.079,4.422,5.89,7.835,0,-511.745,-514.567,-517.184,-520.217,-530.281,-539.467,-541.63,-543.73,-545.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0.09,0.111,0.131,0,0,0,0,0,0,0,0,0,0.035,0,0.503,0.701,0.835,0.933,1,1,1,1,1,0,0,0.001,0.002,0.004,0.02,0.05,0.059,0.068,0.078,0,0.997,1.004,1.009,1.015,1.025,1.036,1.039,1.043,1.048,0,-510.454,-513.775,-516.516,-519.584,-529.634,-538.928,-541.18,-543.18,-544.957,0
"3","cor",11,1,0,2,100,2,2,0,6,4,"AE",1099.926,1104.079,1107.985,1111.85,1122.887,1131.06,1132.773,1133.977,1135.171,0,1099.535,1103.688,1107.595,1111.46,1122.496,1130.67,1132.382,1133.587,1134.781,0,1109.43,1113.583,1117.49,1121.355,1132.391,1140.565,1142.277,1143.482,1144.676,0,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,4e-04,0.0258,0.0611,0.1183,0.2261,0,2.964,4.266,5.585,7.313,15.776,26.993,30.868,34.63,39.033,0,7,7,7,7,7,7,7,7,7,0,0.4276,0.6069,0.7635,0.8982,0.9996,1,1,1,1,0,0,0.001,0.004,0.017,0.465,2.854,4.138,5.43,6.98,0,-546.768,-548.844,-550.797,-552.73,-558.248,-562.335,-563.191,-563.793,-564.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0.085,0.105,0.123,0,0,0,0,0,0,0,0,0,0,0,0.591,0.745,0.86,0.945,1,1,1,1,1,0,0,0.001,0.002,0.004,0.02,0.05,0.06,0.069,0.077,0,1,1.02,1.038,1.056,1.125,1.337,1.493,1.739,2.285,0,-546.039,-548.243,-550.131,-552.065,-557.676,-561.908,-562.771,-563.431,-564.079,0
"4","cor",12,2,0,2,100,2,2,0,6,4,"AE",1071.965,1076.679,1081.271,1086.282,1102.246,1115.362,1118.633,1121.347,1124.018,0,1071.574,1076.288,1080.88,1085.891,1101.856,1114.971,1118.242,1120.956,1123.627,0,1081.469,1086.183,1090.775,1095.786,1111.751,1124.866,1128.137,1130.851,1133.522,0,0.987,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1e-04,2e-04,7e-04,0,14.397,17.094,19.767,23.292,36.409,52.653,57.631,62.251,66.626,0,7,7,7,7,7,7,7,7,7,0,0.3862,0.5546,0.7175,0.8789,0.9995,1,1,1,1,0,0,0.001,0.004,0.016,0.479,3.058,4.511,5.853,7.374,0,-532.787,-535.144,-537.44,-539.945,-547.928,-554.485,-556.121,-557.478,-558.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.091,0.11,0.127,0,0,0,0,0,0,0,0,0,0.023,0,0.552,0.703,0.828,0.934,1,1,1,1,1,0,0,0.001,0.002,0.004,0.02,0.05,0.06,0.068,0.078,0,0.996,1.008,1.018,1.027,1.051,1.087,1.104,1.122,1.152,0,-532.081,-534.423,-536.743,-539.231,-547.358,-553.917,-555.68,-556.983,-558.339,0
"5","cor",20,1,0,1,250,2,2,0,6,4,"AE",2708.269,2715.843,2723.324,2729.927,2754.787,2776.122,2782.175,2786.883,2792.292,0,2705.148,2712.721,2720.203,2726.805,2751.666,2773.001,2779.053,2783.761,2789.17,0,2717.791,2725.365,2732.846,2739.449,2764.309,2785.645,2791.697,2796.405,2801.814,0,0.996,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,51.715,57.053,61.937,67.9,89.338,114.395,120.826,128.081,137.052,0,7,7,7,7,7,7,7,7,7,0,0.3882,0.5647,0.7219,0.8849,0.9994,1,1,1,1,0,0,0.001,0.005,0.017,0.504,2.997,4.487,5.782,7.385,0,-1349.574,-1353.361,-1357.101,-1360.402,-1372.833,-1383.5,-1386.526,-1388.881,-1391.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.058,0.069,0.08,0,0,0,0,0,0,0,0,0,0.015,0,0.739,0.851,0.922,0.975,1,1,1,1,1,0,0,0.001,0.001,0.002,0.013,0.031,0.038,0.043,0.049,0,0.999,1.004,1.008,1.012,1.02,1.028,1.031,1.034,1.037,0,-1348.405,-1352.87,-1356.506,-1359.733,-1372.26,-1382.984,-1385.901,-1388.391,-1391.026,0
"6","cor",21,2,0,1,250,2,2,0,6,4,"AE",2608.51,2617.631,2626.689,2636.395,2666.719,2696.583,2704.215,2711.381,2718.678,0,2605.388,2614.51,2623.567,2633.273,2663.598,2693.461,2701.093,2708.259,2715.557,0,2618.032,2627.154,2636.211,2645.917,2676.242,2706.105,2713.737,2720.903,2728.201,0,0.997,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,124.946,132.3,139.763,147.368,177.428,207.716,217.569,226.406,236.041,0,7,7,7,7,7,7,7,7,7,0,0.3709,0.5652,0.7509,0.8833,0.9994,1,1,1,1,0,0,0.001,0.004,0.018,0.507,3.018,4.24,5.78,7.579,0,-1299.694,-1304.255,-1308.784,-1313.637,-1328.799,-1343.73,-1347.547,-1351.13,-1354.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.055,0.069,0.081,0,0,0,0,0,0,0,0,0,0.018,0,0.725,0.851,0.933,0.975,1,1,1,1,1,0,0,0.001,0.001,0.002,0.013,0.031,0.037,0.043,0.049,0,0.999,1.002,1.004,1.006,1.01,1.013,1.014,1.014,1.015,0,-1298.891,-1303.72,-1308.139,-1313.075,-1328.218,-1343.248,-1347.025,-1350.783,-1354.302,0
"7","cor",29,1,0,2,250,2,2,0,6,4,"AE",2774.194,2779.67,2783.948,2789.695,2806.578,2820.594,2823.682,2826.416,2829.256,0,2771.072,2776.548,2780.827,2786.573,2803.456,2817.472,2820.56,2823.295,2826.135,0,2783.716,2789.192,2793.471,2799.217,2816.1,2830.116,2833.204,2835.938,2838.779,0,0.995,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2e-04,6e-04,0,14.525,17.323,20.071,23.259,37.505,54.462,60.106,64.233,69.761,0,7,7,7,7,7,7,7,7,7,0,0.4037,0.6303,0.7724,0.9005,0.9995,1,1,1,1,0,0,0.001,0.004,0.017,0.48,2.825,4.063,5.235,7.212,0,-1382.536,-1385.274,-1387.413,-1390.287,-1398.728,-1405.736,-1407.28,-1408.647,-1410.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.053,0.065,0.079,0,0,0,0,0,0,0,0,0,0.011,0,0.75,0.884,0.941,0.979,1,1,1,1,1,0,0,0.001,0.001,0.002,0.013,0.032,0.038,0.044,0.05,0,0.999,1.012,1.02,1.028,1.049,1.086,1.101,1.119,1.142,0,-1381.945,-1384.782,-1386.876,-1389.698,-1398.182,-1405.301,-1406.897,-1408.27,-1409.581,0
"8","cor",30,2,0,2,250,2,2,0,6,4,"AE",2707.655,2715.959,2722.551,2730.729,2754.612,2776.169,2782.417,2786.655,2792.061,0,2704.533,2712.837,2719.43,2727.608,2751.49,2773.048,2779.295,2783.533,2788.939,0,2717.177,2725.481,2732.074,2740.252,2764.134,2785.691,2791.939,2796.177,2801.583,0,0.998,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,51.623,57.497,61.75,67.722,89.454,113.599,121.449,128.059,136.781,0,7,7,7,7,7,7,7,7,7,0,0.4139,0.5992,0.7549,0.8895,0.9994,1,1,1,1,0,0,0.001,0.004,0.017,0.506,2.95,4.203,5.418,7.117,0,-1349.267,-1353.419,-1356.715,-1360.804,-1372.745,-1383.524,-1386.648,-1388.767,-1391.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.054,0.066,0.078,0,0,0,0,0,0,0,0,0,0.008,0,0.758,0.869,0.935,0.977,1,1,1,1,1,0,0,0.001,0.001,0.002,0.013,0.031,0.037,0.042,0.048,0,1,1.005,1.009,1.012,1.02,1.028,1.031,1.034,1.038,0,-1348.489,-1352.901,-1356.089,-1360.115,-1372.206,-1383.024,-1386.052,-1388.183,-1391.062,0
"9","cor",38,1,0,1,500,2,2,0,6,4,"AE",5444.229,5454.04,5463.569,5473.275,5506.851,5538.076,5546.685,5553.185,5560.729,0,5439.034,5448.845,5458.374,5468.08,5501.656,5532.881,5541.49,5547.99,5555.534,0,5453.757,5463.568,5473.097,5482.803,5516.379,5547.605,5556.213,5562.713,5570.257,0,0.998,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,123.363,130.544,137.65,145.415,177.222,210.762,220.344,229.681,239.721,0,7,7,7,7,7,7,7,7,7,0,0.4019,0.6132,0.7827,0.8994,0.9994,1,1,1,1,0,0,0.001,0.005,0.019,0.511,2.834,3.966,5.378,7.262,0,-2716.517,-2721.423,-2726.187,-2731.04,-2747.828,-2763.441,-2767.745,-2770.995,-2774.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.037,0.047,0.056,0,0,0,0,0,0,0,0,0,0.009,0,0.91,0.964,0.987,0.996,1,1,1,1,1,0,0,0,0.001,0.002,0.009,0.021,0.025,0.029,0.034,0,1,1.002,1.005,1.007,1.01,1.013,1.014,1.015,1.016,0,-2715.933,-2720.936,-2725.69,-2730.493,-2747.264,-2763.128,-2767.038,-2770.577,-2774.166,0
"10","cor",39,2,0,1,500,2,2,0,6,4,"AE",5248.365,5262.49,5272.435,5285.605,5329.408,5370.485,5382.816,5392.313,5402.041,0,5243.17,5257.295,5267.24,5280.41,5324.213,5365.29,5377.621,5387.118,5396.846,0,5257.893,5272.019,5281.964,5295.134,5338.936,5380.014,5392.344,5401.841,5411.569,0,0.998,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,282.887,291.387,300.698,313.305,354.359,398.344,411.662,422.025,434.905,0,7,7,7,7,7,7,7,7,7,0,0.3701,0.5843,0.7515,0.8923,0.9995,1,1,1,1,0,0,0.001,0.004,0.017,0.477,2.917,4.204,5.623,7.564,0,-2618.585,-2625.648,-2630.62,-2637.205,-2659.106,-2679.645,-2685.81,-2690.559,-2695.423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.039,0.048,0.057,0,0,0,0,0,0,0,0,0,0.013,0,0.898,0.959,0.984,0.995,1,1,1,1,1,0,0,0,0.001,0.002,0.009,0.021,0.026,0.03,0.035,0,1,1.001,1.002,1.003,1.005,1.006,1.006,1.007,1.007,0,-2618.405,-2624.813,-2630.025,-2636.698,-2658.665,-2679.196,-2685.48,-2690.12,-2694.429,0
"11","cor",47,1,0,2,500,2,2,0,6,4,"AE",5564.73,5572.836,5579.783,5586.699,5610.172,5629.583,5634.848,5639.569,5644.208,0,5559.535,5567.641,5574.588,5581.504,5604.977,5624.388,5629.653,5634.374,5639.013,0,5574.258,5582.364,5589.311,5596.227,5619.701,5639.111,5644.376,5649.097,5653.737,0,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,39.546,44.133,48.79,54.443,73.834,97.186,104.067,110.783,119.751,0,7,7,7,7,7,7,7,7,7,0,0.4423,0.6337,0.7823,0.9021,0.9996,1,1,1,1,0,0,0.001,0.004,0.015,0.459,2.808,3.971,5.207,6.871,0,-2776.768,-2780.82,-2784.294,-2787.752,-2799.489,-2809.194,-2811.826,-2814.187,-2816.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0.037,0.046,0.054,0,0,0,0,0,0,0,0,0,0,0,0.924,0.968,0.987,0.996,1,1,1,1,1,0,0,0,0.001,0.002,0.009,0.022,0.027,0.03,0.035,0,1,1.007,1.011,1.015,1.025,1.035,1.039,1.044,1.05,0,-2775.95,-2780.422,-2783.792,-2787.275,-2798.957,-2808.646,-2811.473,-2813.765,-2816.071,0
"12","cor",48,2,0,2,500,2,2,0,6,4,"AE",5443.871,5453.941,5463.328,5472.948,5506.728,5537.155,5545.083,5552.507,5560.154,0,5438.676,5448.746,5458.133,5467.753,5501.533,5531.96,5539.888,5547.312,5554.959,0,5453.399,5463.469,5472.856,5482.476,5516.256,5546.683,5554.611,5562.035,5569.682,0,0.997,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,124.011,131.345,138.759,146.776,177.305,211.27,220.871,230.113,240.747,0,7,7,7,7,7,7,7,7,7,0,0.3735,0.5785,0.7419,0.8822,0.9994,1,1,1,1,0,0,0.001,0.005,0.02,0.523,3.027,4.32,5.643,7.539,0,-2716.338,-2721.373,-2726.066,-2730.876,-2747.766,-2762.98,-2766.944,-2770.656,-2774.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.039,0.048,0.057,0,0,0,0,0,0,0,0,0,0.012,0,0.899,0.958,0.983,0.995,1,1,1,1,1,0,0,0,0.001,0.002,0.009,0.022,0.026,0.03,0.035,0,0.999,1.002,1.004,1.006,1.01,1.013,1.014,1.015,1.016,0,-2715.489,-2720.816,-2725.429,-2730.223,-2747.213,-2762.483,-2766.489,-2770.196,-2773.791,0
"13","cor",56,1,0,1,1000,2,2,0,6,4,"AE",10922.11,10936.22,10947.6,10961.42,11008.38,11052.46,11064.48,11074.66,11087.88,0,10914.84,10928.95,10940.33,10954.15,11001.1,11045.19,11057.21,11067.39,11080.61,0,10931.65,10945.75,10957.14,10970.95,11017.91,11061.99,11074.01,11084.19,11097.42,0,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,273.445,286.914,297.023,309.298,353.274,400.433,414.166,426.298,439.651,0,7,7,7,7,7,7,7,7,7,0,0.4266,0.6075,0.7669,0.895,0.9995,1,1,1,1,0,0,0.001,0.004,0.018,0.487,2.888,4.1,5.431,6.966,0,-5454.422,-5461.476,-5467.166,-5474.074,-5497.552,-5519.595,-5525.606,-5530.695,-5537.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.027,0.033,0.039,0,0,0,0,0,0,0,0,0,0,0,0.993,0.998,0.999,1,1,1,1,1,1,0,0,0,0.001,0.001,0.006,0.015,0.018,0.021,0.024,0,1,1.001,1.002,1.003,1.005,1.006,1.006,1.007,1.007,0,-5453.631,-5460.573,-5466.651,-5473.521,-5497.099,-5519.091,-5525.184,-5530.091,-5537.025,0
"14","cor",57,2,0,1,1000,2,2,0,6,4,"AE",10545.81,10562.09,10577.29,10594.89,10655.75,10714.54,10730.51,10746.17,10763.13,0,10538.54,10554.82,10570.02,10587.62,10648.48,10707.27,10723.24,10738.9,10755.86,0,10555.34,10571.63,10586.82,10604.42,10665.28,10724.07,10740.04,10755.7,10772.66,0,0.999,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,598.986,616.028,631.577,647.418,705.922,767.061,784.217,799.861,816.027,0,7,7,7,7,7,7,7,7,7,0,0.3373,0.5537,0.7155,0.875,0.9994,1,1,1,1,0,0,0.001,0.004,0.017,0.524,3.101,4.539,5.838,7.934,0,-5266.268,-5274.412,-5282.009,-5290.81,-5321.241,-5350.636,-5358.62,-5366.449,-5374.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.029,0.035,0.042,0,0,0,0,0,0,0,0,0,0.012,0,0.988,0.997,0.999,1,1,1,1,1,1,0,0,0,0.001,0.001,0.006,0.016,0.019,0.022,0.025,0,1,1,1.001,1.002,1.003,1.003,1.003,1.003,1.003,0,-5265.716,-5273.771,-5281.585,-5290.177,-5320.782,-5350.022,-5357.93,-5365.711,-5374.122,0
