"","Method","id","ace_a","ace_c","ace_e","n","NGroups","NDependentVars","NIndependentVars","NContinuousLatentVars","Parameters","TrueModel","aBIC_ce_0.01","aBIC_ce_0.025","aBIC_ce_0.05","aBIC_ce_0.1","aBIC_ce_0.5","aBIC_ce_0.9","aBIC_ce_0.95","aBIC_ce_0.975","aBIC_ce_0.99","aBIC_ce_NA","AIC_ce_0.01","AIC_ce_0.025","AIC_ce_0.05","AIC_ce_0.1","AIC_ce_0.5","AIC_ce_0.9","AIC_ce_0.95","AIC_ce_0.975","AIC_ce_0.99","AIC_ce_NA","BIC_ce_0.01","BIC_ce_0.025","BIC_ce_0.05","BIC_ce_0.1","BIC_ce_0.5","BIC_ce_0.9","BIC_ce_0.95","BIC_ce_0.975","BIC_ce_0.99","BIC_ce_NA","CFI_ce_0.01","CFI_ce_0.025","CFI_ce_0.05","CFI_ce_0.1","CFI_ce_0.5","CFI_ce_0.9","CFI_ce_0.95","CFI_ce_0.975","CFI_ce_0.99","CFI_ce_NA","ChiSqBaseline_DF_ce_0.01","ChiSqBaseline_DF_ce_0.025","ChiSqBaseline_DF_ce_0.05","ChiSqBaseline_DF_ce_0.1","ChiSqBaseline_DF_ce_0.5","ChiSqBaseline_DF_ce_0.9","ChiSqBaseline_DF_ce_0.95","ChiSqBaseline_DF_ce_0.975","ChiSqBaseline_DF_ce_0.99","ChiSqBaseline_DF_ce_NA","ChiSqBaseline_PValue_ce_0.01","ChiSqBaseline_PValue_ce_0.025","ChiSqBaseline_PValue_ce_0.05","ChiSqBaseline_PValue_ce_0.1","ChiSqBaseline_PValue_ce_0.5","ChiSqBaseline_PValue_ce_0.9","ChiSqBaseline_PValue_ce_0.95","ChiSqBaseline_PValue_ce_0.975","ChiSqBaseline_PValue_ce_0.99","ChiSqBaseline_PValue_ce_NA","ChiSqBaseline_Value_ce_0.01","ChiSqBaseline_Value_ce_0.025","ChiSqBaseline_Value_ce_0.05","ChiSqBaseline_Value_ce_0.1","ChiSqBaseline_Value_ce_0.5","ChiSqBaseline_Value_ce_0.9","ChiSqBaseline_Value_ce_0.95","ChiSqBaseline_Value_ce_0.975","ChiSqBaseline_Value_ce_0.99","ChiSqBaseline_Value_ce_NA","ChiSqM_DF_ce_0.01","ChiSqM_DF_ce_0.025","ChiSqM_DF_ce_0.05","ChiSqM_DF_ce_0.1","ChiSqM_DF_ce_0.5","ChiSqM_DF_ce_0.9","ChiSqM_DF_ce_0.95","ChiSqM_DF_ce_0.975","ChiSqM_DF_ce_0.99","ChiSqM_DF_ce_NA","ChiSqM_PValue_ce_0.01","ChiSqM_PValue_ce_0.025","ChiSqM_PValue_ce_0.05","ChiSqM_PValue_ce_0.1","ChiSqM_PValue_ce_0.5","ChiSqM_PValue_ce_0.9","ChiSqM_PValue_ce_0.95","ChiSqM_PValue_ce_0.975","ChiSqM_PValue_ce_0.99","ChiSqM_PValue_ce_NA","ChiSqM_Value_ce_0.01","ChiSqM_Value_ce_0.025","ChiSqM_Value_ce_0.05","ChiSqM_Value_ce_0.1","ChiSqM_Value_ce_0.5","ChiSqM_Value_ce_0.9","ChiSqM_Value_ce_0.95","ChiSqM_Value_ce_0.975","ChiSqM_Value_ce_0.99","ChiSqM_Value_ce_NA","LL_ce_0.01","LL_ce_0.025","LL_ce_0.05","LL_ce_0.1","LL_ce_0.5","LL_ce_0.9","LL_ce_0.95","LL_ce_0.975","LL_ce_0.99","LL_ce_NA","RMSEA_90CI_LB_ce_0.01","RMSEA_90CI_LB_ce_0.025","RMSEA_90CI_LB_ce_0.05","RMSEA_90CI_LB_ce_0.1","RMSEA_90CI_LB_ce_0.5","RMSEA_90CI_LB_ce_0.9","RMSEA_90CI_LB_ce_0.95","RMSEA_90CI_LB_ce_0.975","RMSEA_90CI_LB_ce_0.99","RMSEA_90CI_LB_ce_NA","RMSEA_90CI_UB_ce_0.01","RMSEA_90CI_UB_ce_0.025","RMSEA_90CI_UB_ce_0.05","RMSEA_90CI_UB_ce_0.1","RMSEA_90CI_UB_ce_0.5","RMSEA_90CI_UB_ce_0.9","RMSEA_90CI_UB_ce_0.95","RMSEA_90CI_UB_ce_0.975","RMSEA_90CI_UB_ce_0.99","RMSEA_90CI_UB_ce_NA","RMSEA_Estimate_ce_0.01","RMSEA_Estimate_ce_0.025","RMSEA_Estimate_ce_0.05","RMSEA_Estimate_ce_0.1","RMSEA_Estimate_ce_0.5","RMSEA_Estimate_ce_0.9","RMSEA_Estimate_ce_0.95","RMSEA_Estimate_ce_0.975","RMSEA_Estimate_ce_0.99","RMSEA_Estimate_ce_NA","RMSEA_pLT05_ce_0.01","RMSEA_pLT05_ce_0.025","RMSEA_pLT05_ce_0.05","RMSEA_pLT05_ce_0.1","RMSEA_pLT05_ce_0.5","RMSEA_pLT05_ce_0.9","RMSEA_pLT05_ce_0.95","RMSEA_pLT05_ce_0.975","RMSEA_pLT05_ce_0.99","RMSEA_pLT05_ce_NA","SRMR_ce_0.01","SRMR_ce_0.025","SRMR_ce_0.05","SRMR_ce_0.1","SRMR_ce_0.5","SRMR_ce_0.9","SRMR_ce_0.95","SRMR_ce_0.975","SRMR_ce_0.99","SRMR_ce_NA","TLI_ce_0.01","TLI_ce_0.025","TLI_ce_0.05","TLI_ce_0.1","TLI_ce_0.5","TLI_ce_0.9","TLI_ce_0.95","TLI_ce_0.975","TLI_ce_0.99","TLI_ce_NA","UnrestrictedLL_ce_0.01","UnrestrictedLL_ce_0.025","UnrestrictedLL_ce_0.05","UnrestrictedLL_ce_0.1","UnrestrictedLL_ce_0.5","UnrestrictedLL_ce_0.9","UnrestrictedLL_ce_0.95","UnrestrictedLL_ce_0.975","UnrestrictedLL_ce_0.99","UnrestrictedLL_ce_NA"
"1","cor",4,0,1,1,100,2,2,0,6,4,"CE",1043.688,1049.416,1054.365,1060.277,1080.327,1097.354,1101.918,1105.12,1108.838,0,1043.297,1049.026,1053.975,1059.887,1079.936,1096.963,1101.528,1104.729,1108.448,0,1053.192,1058.921,1063.87,1069.782,1089.831,1106.858,1111.423,1114.624,1118.343,0,0.976,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,29.88,33.74,36.86,41.182,58.644,78.555,84.371,89.666,95.597,0,7,7,7,7,7,7,7,7,7,0,0.2975,0.4511,0.6525,0.8338,0.9989,1,1,1,1,0,0,0.001,0.005,0.02,0.614,3.513,5.048,6.763,8.407,0,-518.649,-521.513,-523.987,-526.943,-536.968,-545.482,-547.764,-549.365,-551.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0.1,0.12,0.136,0,0,0,0,0,0,0,0,0,0.045,0,0.461,0.613,0.78,0.906,1,1,1,1,1,0,0,0.001,0.001,0.003,0.016,0.04,0.048,0.055,0.062,0,0.993,1.001,1.009,1.016,1.03,1.046,1.052,1.059,1.066,0,-517.578,-520.73,-523.375,-526.245,-536.242,-544.957,-547.125,-548.681,-550.565,0
"2","cor",7,0,2,1,100,2,2,0,6,4,"CE",974.117,981.83,987.788,995.229,1020.233,1043.194,1050.294,1055.366,1061.018,0,973.726,981.439,987.397,994.838,1019.843,1042.803,1049.903,1054.976,1060.627,0,983.621,991.334,997.292,1004.733,1029.738,1052.698,1059.798,1064.871,1070.522,0,0.977,0.997,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,77.484,83.305,88.791,95.714,119.045,143.458,151.403,157.331,165.372,0,7,7,7,7,7,7,7,7,7,0,0.2084,0.3963,0.5919,0.763,0.9983,1,1,1,1,0,0,0.002,0.006,0.023,0.706,4.119,5.56,7.302,9.649,0,-483.863,-487.72,-490.699,-494.419,-506.921,-518.402,-521.951,-524.488,-527.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0.106,0.126,0.147,0,0,0,0,0,0,0,0,0.021,0.062,0,0.358,0.562,0.733,0.859,0.999,1,1,1,1,0,0,0.001,0.001,0.002,0.012,0.03,0.035,0.04,0.047,0,0.994,0.999,1.003,1.007,1.015,1.02,1.021,1.023,1.025,0,-482.878,-486.893,-489.857,-493.825,-506.041,-517.708,-521.168,-523.912,-526.794,0
"3","cor",13,0,1,2,100,2,2,0,6,4,"CE",1087.006,1091.697,1096.058,1100.301,1113.803,1124.569,1126.955,1128.89,1130.708,0,1086.615,1091.306,1095.667,1099.911,1113.412,1124.179,1126.564,1128.499,1130.317,0,1096.51,1101.201,1105.562,1109.806,1123.307,1134.074,1136.459,1138.394,1140.212,0,0.969,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,9e-04,0.0035,0.0093,0.022,0,7.609,9.334,11.29,13.954,24.739,38.384,42.857,47.019,52.503,0,7,7,7,7,7,7,7,7,7,0,0.3407,0.5595,0.7312,0.8816,0.9992,1,1,1,1,0,0,0.002,0.005,0.02,0.559,3.031,4.412,5.823,7.909,0,-540.308,-542.653,-544.834,-546.955,-553.706,-559.089,-560.282,-561.249,-562.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0.09,0.11,0.132,0,0,0,0,0,0,0,0,0,0.036,0,0.506,0.707,0.837,0.935,1,1,1,1,1,0,0,0.001,0.002,0.004,0.02,0.046,0.056,0.063,0.074,0,0.991,1.011,1.025,1.038,1.075,1.153,1.194,1.243,1.326,0,-539.104,-542.044,-544.122,-546.372,-553.193,-558.585,-559.917,-560.889,-561.75,0
"4","cor",16,0,2,2,100,2,2,0,6,4,"CE",1041.369,1048.584,1053.96,1060.434,1080.058,1097.178,1101.781,1105.339,1108.672,0,1040.978,1048.193,1053.569,1060.043,1079.668,1096.787,1101.39,1104.948,1108.281,0,1050.873,1058.088,1063.464,1069.938,1089.563,1106.682,1111.285,1114.843,1118.176,0,0.976,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,29.568,33.241,36.949,41.544,58.885,78.531,85.039,90.187,97.154,0,7,7,7,7,7,7,7,7,7,0,0.2975,0.4986,0.6541,0.8303,0.999,1,1,1,1,0,0,0.001,0.005,0.019,0.594,3.547,5.045,6.358,8.392,0,-517.489,-521.097,-523.784,-527.022,-536.834,-545.393,-547.695,-549.474,-551.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0.1,0.116,0.136,0,0,0,0,0,0,0,0,0,0.045,0,0.461,0.655,0.781,0.904,1,1,1,1,1,0,0,0.001,0.002,0.003,0.016,0.039,0.048,0.054,0.063,0,0.993,1.003,1.009,1.016,1.03,1.046,1.052,1.059,1.069,0,-516.964,-520.349,-523.039,-526.283,-536.123,-544.785,-547.053,-548.936,-550.678,0
"5","cor",22,0,1,1,250,2,2,0,6,4,"CE",2645.367,2652.865,2661.353,2670.267,2699.216,2726.359,2734.069,2739.986,2747.586,0,2642.245,2649.743,2658.232,2667.145,2696.095,2723.238,2730.947,2736.864,2744.464,0,2654.889,2662.387,2670.875,2679.789,2708.738,2735.881,2743.591,2749.508,2757.108,0,0.991,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,95.868,104.063,109.716,117.49,145.053,174.244,182.94,191.297,198.395,0,7,7,7,7,7,7,7,7,7,0,0.3052,0.5213,0.6989,0.8526,0.9993,1,1,1,1,0,0,0.001,0.005,0.019,0.542,3.332,4.677,6.152,8.277,0,-1318.123,-1321.872,-1326.116,-1330.572,-1345.047,-1358.619,-1362.474,-1365.432,-1369.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0.059,0.072,0.085,0,0,0,0,0,0,0,0,0,0.027,0,0.669,0.827,0.913,0.966,1,1,1,1,1,0,0,0,0.001,0.002,0.01,0.024,0.029,0.033,0.038,0,0.998,1.002,1.005,1.007,1.012,1.016,1.017,1.019,1.02,0,-1317.623,-1321.272,-1325.461,-1329.807,-1344.404,-1358.143,-1362.074,-1364.808,-1368.969,0
"6","cor",25,0,2,1,250,2,2,0,6,4,"CE",2475.277,2487.484,2498.007,2510.844,2548.769,2586.919,2597.068,2606.587,2614.941,0,2472.155,2484.362,2494.885,2507.722,2545.648,2583.797,2593.947,2603.465,2611.82,0,2484.799,2497.006,2507.529,2520.366,2558.291,2596.441,2606.59,2616.109,2624.463,0,0.99,0.999,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,228.891,238.173,247.4,257.52,295.596,333.727,346.031,356.77,367.859,0,7,7,7,7,7,7,7,7,7,0,0.1969,0.3964,0.5989,0.801,0.9989,1,1,1,1,0,0,0.002,0.006,0.022,0.608,3.804,5.494,7.22,9.833,0,-1233.078,-1239.181,-1244.443,-1250.861,-1269.824,-1288.899,-1293.973,-1298.732,-1302.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.067,0.079,0.094,0,0,0,0,0,0,0,0,0.011,0.04,0,0.55,0.745,0.868,0.951,1,1,1,1,1,0,0,0,0.001,0.001,0.007,0.018,0.022,0.025,0.029,0,0.997,1,1.001,1.003,1.006,1.007,1.008,1.008,1.008,0,-1232.93,-1238.514,-1243.893,-1250.06,-1269.134,-1288.156,-1293.131,-1297.809,-1302.467,0
"7","cor",31,0,1,2,250,2,2,0,6,4,"CE",2743.827,2751.087,2756.796,2763.228,2783.894,2801.301,2805.334,2809.061,2813.379,0,2740.705,2747.966,2753.675,2760.106,2780.772,2798.179,2802.213,2805.94,2810.257,0,2753.349,2760.61,2766.318,2772.75,2793.416,2810.823,2814.856,2818.583,2822.901,0,0.992,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,30.537,34.756,38.516,42.583,60.272,81.07,87.431,92.995,100.049,0,7,7,7,7,7,7,7,7,7,0,0.3808,0.5951,0.7299,0.8689,0.9994,1,1,1,1,0,0,0.001,0.005,0.019,0.52,3.164,4.419,5.524,7.448,0,-1367.353,-1370.983,-1373.837,-1377.053,-1387.386,-1396.09,-1398.106,-1399.97,-1402.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.057,0.067,0.081,0,0,0,0,0,0,0,0,0,0.016,0,0.733,0.867,0.925,0.971,1,1,1,1,1,0,0,0.001,0.001,0.002,0.012,0.03,0.035,0.04,0.046,0,0.998,1.006,1.011,1.017,1.03,1.045,1.051,1.057,1.065,0,-1366.813,-1370.393,-1373.213,-1376.399,-1386.797,-1395.634,-1397.669,-1399.551,-1401.66,0
"8","cor",34,0,2,2,250,2,2,0,6,4,"CE",2641.106,2650.675,2659.197,2669.072,2699.676,2725.635,2732.765,2739.409,2746.205,0,2637.984,2647.553,2656.075,2665.951,2696.554,2722.513,2729.644,2736.288,2743.084,0,2650.628,2660.197,2668.719,2678.595,2709.198,2735.157,2742.288,2748.932,2755.727,0,0.989,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,97.533,104.46,111.258,118.314,144.617,175.197,185.232,194.263,203.182,0,7,7,7,7,7,7,7,7,7,0,0.2733,0.4815,0.6709,0.8436,0.9992,1,1,1,1,0,0,0.001,0.005,0.021,0.566,3.418,4.896,6.5,8.614,0,-1315.992,-1320.777,-1325.037,-1329.975,-1345.277,-1358.257,-1361.822,-1365.144,-1368.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0.062,0.074,0.087,0,0,0,0,0,0,0,0,0,0.03,0,0.637,0.803,0.902,0.964,1,1,1,1,1,0,0,0.001,0.001,0.002,0.01,0.025,0.029,0.034,0.039,0,0.997,1.001,1.004,1.007,1.012,1.016,1.017,1.018,1.02,0,-1315.308,-1319.782,-1324.311,-1329.334,-1344.61,-1357.761,-1361.303,-1364.699,-1368.094,0
"9","cor",40,0,1,1,500,2,2,0,6,4,"CE",5317.299,5330.232,5341.722,5353.537,5394.856,5434.576,5445.883,5455.553,5465.646,0,5312.104,5325.037,5336.527,5348.342,5389.661,5429.381,5440.688,5450.358,5460.451,0,5326.828,5339.76,5351.25,5363.065,5404.384,5444.104,5455.411,5465.081,5475.174,0,0.994,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,218.637,228.639,238.398,249.513,289.294,330.705,342.393,354.211,367.066,0,7,7,7,7,7,7,7,7,7,0,0.2732,0.4914,0.6594,0.8314,0.999,1,1,1,1,0,0,0.001,0.006,0.02,0.6,3.533,5,6.421,8.579,0,-2653.052,-2659.518,-2665.263,-2671.171,-2691.831,-2711.69,-2717.344,-2722.179,-2727.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.044,0.052,0.062,0,0,0,0,0,0,0,0,0,0.021,0,0.85,0.938,0.972,0.991,1,1,1,1,1,0,0,0,0.001,0.001,0.007,0.018,0.021,0.024,0.028,0,0.998,1.001,1.002,1.003,1.006,1.008,1.008,1.008,1.009,0,-2652.281,-2658.732,-2664.575,-2670.491,-2691.227,-2711.109,-2716.675,-2721.555,-2726.463,0
"10","cor",43,0,2,1,500,2,2,0,6,4,"CE",4995.927,5010.437,5025.372,5041.306,5095.295,5148.012,5162.072,5173.626,5187.839,0,4990.732,5005.242,5020.177,5036.111,5090.099,5142.817,5156.877,5168.431,5182.644,0,5005.455,5019.966,5034.9,5050.834,5104.823,5157.54,5171.6,5183.154,5197.367,0,0.996,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,496.812,510.32,521.415,535.956,589.007,642.941,659.035,673.653,688.771,0,7,7,7,7,7,7,7,7,7,0,0.2234,0.4422,0.6279,0.8012,0.9987,1,1,1,1,0,0,0.001,0.005,0.022,0.646,3.802,5.259,6.825,9.355,0,-2492.366,-2499.621,-2507.088,-2515.056,-2542.05,-2568.408,-2575.438,-2581.215,-2588.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.046,0.054,0.064,0,0,0,0,0,0,0,0,0,0.026,0,0.815,0.924,0.967,0.989,1,1,1,1,1,0,0,0,0,0.001,0.005,0.013,0.015,0.017,0.02,0,0.999,1,1.001,1.002,1.003,1.004,1.004,1.004,1.004,0,-2491.424,-2498.958,-2506.349,-2514.384,-2541.362,-2567.893,-2575.164,-2580.542,-2587.383,0
"11","cor",49,0,1,2,500,2,2,0,6,4,"CE",5510.064,5520.233,5527.875,5535.845,5565.273,5590.968,5597.232,5602.27,5607.925,0,5504.869,5515.038,5522.68,5530.65,5560.078,5585.773,5592.037,5597.075,5602.73,0,5519.592,5529.762,5537.403,5545.373,5574.802,5600.497,5606.76,5611.798,5617.454,0,0.995,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,76.449,81.382,86.776,93.045,118.903,147.923,156.192,163.682,173.786,0,7,7,7,7,7,7,7,7,7,0,0.3733,0.5926,0.7524,0.8781,0.9993,1,1,1,1,0,0,0.001,0.005,0.019,0.544,3.071,4.231,5.554,7.541,0,-2749.434,-2754.519,-2758.34,-2762.325,-2777.039,-2789.887,-2793.019,-2795.538,-2798.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0.039,0.048,0.057,0,0,0,0,0,0,0,0,0,0.012,0,0.899,0.961,0.984,0.995,1,1,1,1,1,0,0,0,0.001,0.002,0.009,0.021,0.025,0.028,0.033,0,0.999,1.003,1.006,1.009,1.015,1.02,1.022,1.024,1.026,0,-2748.661,-2753.996,-2757.763,-2761.913,-2776.419,-2789.349,-2792.478,-2795.055,-2797.631,0
"12","cor",52,0,2,2,500,2,2,0,6,4,"CE",5315.877,5328.997,5339.63,5353.485,5395.876,5433.824,5443.622,5452.71,5461.334,0,5310.682,5323.802,5334.435,5348.29,5390.681,5428.629,5438.427,5447.515,5456.139,0,5325.405,5338.525,5349.158,5363.013,5405.404,5443.352,5453.151,5462.238,5470.862,0,0.998,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,222.233,231.876,240.197,250.175,288.196,331.25,344.291,355.36,369.26,0,7,7,7,7,7,7,7,7,7,0,0.3636,0.5341,0.7022,0.855,0.9991,1,1,1,1,0,0,0.001,0.006,0.02,0.581,3.306,4.647,6.036,7.623,0,-2652.341,-2658.901,-2664.217,-2671.145,-2692.34,-2711.314,-2716.214,-2720.758,-2725.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.042,0.05,0.058,0,0,0,0,0,0,0,0,0,0.013,0,0.895,0.949,0.978,0.993,1,1,1,1,1,0,0,0,0.001,0.001,0.007,0.017,0.021,0.023,0.027,0,0.999,1.001,1.002,1.004,1.006,1.008,1.008,1.008,1.009,0,-2651.08,-2658.128,-2663.724,-2670.247,-2691.77,-2710.781,-2715.762,-2719.924,-2724.7,0
"13","cor",58,0,1,1,1000,2,2,0,6,4,"CE",10676.42,10695.34,10708.96,10725.87,10785.12,10840.11,10857.04,10868.78,10883.69,0,10669.15,10688.07,10701.69,10718.6,10777.85,10832.84,10849.77,10861.51,10876.42,0,10685.95,10704.87,10718.49,10735.4,10794.65,10849.64,10866.58,10878.32,10893.22,0,0.998,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,478.538,492.626,504.924,522.205,576.723,636.052,652.638,666.592,684.387,0,7,7,7,7,7,7,7,7,7,0,0.3185,0.5383,0.7174,0.8628,0.9992,1,1,1,1,0,0,0.001,0.006,0.022,0.555,3.228,4.523,5.954,8.132,0,-5331.576,-5341.033,-5347.843,-5356.301,-5385.924,-5413.419,-5421.886,-5427.757,-5435.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.029,0.035,0.042,0,0,0,0,0,0,0,0,0,0.013,0,0.986,0.996,0.999,1,1,1,1,1,1,0,0,0,0.001,0.001,0.005,0.012,0.014,0.016,0.019,0,0.999,1,1.001,1.002,1.003,1.004,1.004,1.004,1.004,0,-5331.237,-5340.309,-5347.432,-5355.71,-5385.382,-5412.646,-5421.253,-5427.431,-5434.435,0
"14","cor",61,0,2,1,1000,2,2,0,6,4,"CE",10045.23,10065.47,10084.228,10108.291,10185.764,10263.179,10284.674,10303.329,10324.041,0,10037.958,10058.198,10076.956,10101.02,10178.493,10255.908,10277.403,10296.057,10316.769,0,10054.761,10075.001,10093.759,10117.822,10195.296,10272.71,10294.205,10312.86,10333.572,0,0.998,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1037.707,1059.22,1077.797,1099.185,1176.701,1253.816,1278.309,1295.446,1316.873,0,7,7,7,7,7,7,7,7,7,0,0.2319,0.4001,0.5969,0.7943,0.9987,1,1,1,1,0,0,0.002,0.006,0.024,0.644,3.861,5.508,7.24,9.263,0,-5015.979,-5026.099,-5035.478,-5047.51,-5086.246,-5124.954,-5135.701,-5145.028,-5155.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.033,0.04,0.045,0,0,0,0,0,0,0,0,0.006,0.018,0,0.976,0.991,0.997,0.999,1,1,1,1,1,0,0,0,0,0.001,0.004,0.009,0.011,0.012,0.014,0,0.999,1,1,1.001,1.002,1.002,1.002,1.002,1.002,0,-5015.308,-5025.489,-5034.396,-5046.814,-5085.382,-5124.159,-5134.811,-5144.08,-5154.881,0
